canonical_card_id,collector_number,canonical_name,listing_name,listing_url,edition_code,cardmarket_product_id,cardmarket_product_name,cardmarket_metacard_id,mapping_status,mapping_method,evidence,avg30,avg30_holo,price_snapshot_at
xy5-11,11,Lombre,Lombre,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Lombre-PRC11,,273542,Lombre [Hook | Beat],340475,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='lombre'; canonical_terms=['hook', 'beat']; product_terms=['hook', 'beat'].",0.21,0.47,2026-07-26T02:44:32+0200
xy5-12,12,Ludicolo,Ludicolo,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Ludicolo-PRC12,,273543,Ludicolo [Captivating Rhythm | Solar Ray],340476,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='ludicolo'; canonical_terms=['captivating rhythm', 'solar ray']; product_terms=['captivating rhythm', 'solar ray'].",1.94,3.25,2026-07-26T02:44:32+0200
xy5-13,13,Surskit,Surskit,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Surskit-PRC13,,273544,Surskit [Stampede],340477,candidate,collector_number_and_direct_listing_product_id,Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='surskit'; canonical_terms=['stampede']; product_terms=['stampede'].,0.16,0.58,2026-07-26T02:44:32+0200
xy5-14,14,Masquerain,Masquerain,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Masquerain-PRC14,,273545,Masquerain [Spiral Gyration | Air Slash],340478,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='masquerain'; canonical_terms=['spiral gyration', 'air slash']; product_terms=['spiral gyration', 'air slash'].",0.22,0.69,2026-07-26T02:44:32+0200
xy5-15,15,Shroomish,Shroomish,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Shroomish-PRC15,,273546,Shroomish [Spore],340523,candidate,collector_number_and_direct_listing_product_id,Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='shroomish'; canonical_terms=['spore']; product_terms=['spore'].,0.23,0.85,2026-07-26T02:44:32+0200
xy5-16,16,Breloom,Breloom,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Breloom-PRC16,,273547,Breloom [Dynamic Punch | Mega Kick],340524,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='breloom'; canonical_terms=['dynamic punch', 'mega kick']; product_terms=['dynamic punch', 'mega kick'].",0.76,0.92,2026-07-26T02:44:32+0200
xy5-17,17,Volbeat,Volbeat,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Volbeat-PRC17,,273548,Volbeat [Acrobatics | Pester],340525,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='volbeat'; canonical_terms=['acrobatics', 'pester']; product_terms=['acrobatics', 'pester'].",0.38,1.82,2026-07-26T02:44:32+0200
xy5-18,18,Illumise,Illumise,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Illumise-PRC18,,273549,Illumise [Helping Hand | Twirling Sign],340526,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='illumise'; canonical_terms=['helping hand', 'twirling sign']; product_terms=['helping hand', 'twirling sign'].",0.44,1.42,2026-07-26T02:44:32+0200
xy5-19,19,Trevenant-EX,Trevenant EX,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Trevenant-EX-PRC19,,273550,Trevenant EX [Dark Forest | Wood Blast],340527,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='trevenant ex'; canonical_terms=['dark forest', 'wood blast']; product_terms=['dark forest', 'wood blast'].",4.66,2.48,2026-07-26T02:44:32+0200
xy5-20,20,Vulpix,Vulpix,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Vulpix-V1-PRC20,V1,273551,Vulpix [Roar | Gnaw],224501,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='vulpix'; canonical_terms=['roar', 'gnaw']; product_terms=['roar', 'gnaw'].",0.24,1.75,2026-07-26T02:44:32+0200
xy5-20,20,Vulpix,Vulpix,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Vulpix-V2-PRC1,V2,886899,Vulpix [Roar | Gnaw],224501,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='vulpix'; canonical_terms=['roar', 'gnaw']; product_terms=['roar', 'gnaw'].",69.99,,2026-07-26T02:44:32+0200
xy5-21,21,Ninetales,Ninetales,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Ninetales-PRC21,,273552,Ninetales [Barrier Shrine | Flickering Flames],340528,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='ninetales'; canonical_terms=['barrier shrine', 'flickering flames']; product_terms=['barrier shrine', 'flickering flames'].",1.4,3.55,2026-07-26T02:44:32+0200
xy5-22,22,Slugma,Slugma,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Slugma-PRC22,,273553,Slugma [Grass Fire | Ram],340529,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='slugma'; canonical_terms=['grass fire', 'ram']; product_terms=['grass fire', 'ram'].",0.18,0.6,2026-07-26T02:44:32+0200
xy5-23,23,Magcargo,Magcargo,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Magcargo-PRC23,,273554,Magcargo [Flame Burst | Flamethrower],340530,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='magcargo'; canonical_terms=['flame burst', 'flamethrower']; product_terms=['flame burst', 'flamethrower'].",0.29,0.66,2026-07-26T02:44:32+0200
xy5-24,24,Magcargo,Magcargo,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Magcargo-PRC24,,273555,Magcargo [Ram | Indomitable Blaze],340531,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='magcargo'; canonical_terms=['ram', 'indomitable blaze']; product_terms=['ram', 'indomitable blaze'].",1.55,3.48,2026-07-26T02:44:32+0200
xy5-25,25,Torchic,Torchic,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Torchic-PRC25,,273556,Torchic [Ember],224502,candidate,collector_number_and_direct_listing_product_id,Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='torchic'; canonical_terms=['ember']; product_terms=['ember'].,0.16,1.07,2026-07-26T02:44:32+0200
xy5-26,26,Torchic,Torchic,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Torchic-PRC26,,273557,Torchic [Flare Bonus | Claw],337004,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='torchic'; canonical_terms=['flare bonus', 'claw']; product_terms=['flare bonus', 'claw'].",5.15,8.03,2026-07-26T02:44:32+0200
xy5-27,27,Combusken,Combusken,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Combusken-PRC27,,273558,Combusken [Quick Attack | Spiral Kick],340532,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='combusken'; canonical_terms=['quick attack', 'spiral kick']; product_terms=['quick attack', 'spiral kick'].",0.19,1.31,2026-07-26T02:44:32+0200
xy5-28,28,Blaziken,Blaziken,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Blaziken-PRC28,,273559,Blaziken [Spreading Flames | Heat Blow],340533,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='blaziken'; canonical_terms=['spreading flames', 'heat blow']; product_terms=['spreading flames', 'heat blow'].",4.23,6.26,2026-07-26T02:44:32+0200
xy5-29,29,Camerupt-EX,Camerupt EX,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Camerupt-EX-PRC29,,273560,Camerupt EX [Tumbling Attack | Explosive Jet],339721,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='camerupt ex'; canonical_terms=['tumbling attack', 'explosive jet']; product_terms=['tumbling attack', 'explosive jet'].",3.12,2.66,2026-07-26T02:44:32+0200
xy5-30,30,Horsea,Horsea,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Horsea-PRC30,,273561,Horsea [Bubble | Primal Clash],340479,candidate,collector_number_and_direct_listing_product_id,Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='horsea'; canonical_terms=['bubble']; product_terms=['bubble'].,0.15,0.75,2026-07-26T02:44:32+0200
xy5-31,31,Seadra,Seadra,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Seadra-PRC31,,273562,Seadra [Knockout Needle | Water Gun],340480,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='seadra'; canonical_terms=['knockout needle', 'water gun']; product_terms=['knockout needle', 'water gun'].",0.22,0.95,2026-07-26T02:44:32+0200
xy5-32,32,Staryu,Staryu,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Staryu-PRC32,,273563,Staryu [Lunge],340481,candidate,collector_number_and_direct_listing_product_id,Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='staryu'; canonical_terms=['lunge']; product_terms=['lunge'].,0.41,1.74,2026-07-26T02:44:32+0200
xy5-33,33,Mudkip,Mudkip,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Mudkip-PRC33,,273564,Mudkip [Tackle | Mud-Slap],211425,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='mudkip'; canonical_terms=['tackle', 'mud slap']; product_terms=['tackle', 'mud slap'].",0.36,2.74,2026-07-26T02:44:32+0200
xy5-34,34,Marshtomp,Marshtomp,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Marshtomp-PRC34,,273565,Marshtomp [Mud-Slap | Endeavor],340013,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='marshtomp'; canonical_terms=['mud slap', 'endeavor']; product_terms=['mud slap', 'endeavor'].",0.28,1,2026-07-26T02:44:32+0200
xy5-35,35,Swampert,Swampert,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Swampert-PRC35,,273566,Swampert [Water Arrow | Waterfall],340482,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='swampert'; canonical_terms=['water arrow', 'waterfall']; product_terms=['water arrow', 'waterfall'].",2.5,2.54,2026-07-26T02:44:32+0200
xy5-36,36,Swampert,Swampert,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Swampert-PRC36,,273567,Swampert [Diving Search | Hydro Pump],211428,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='swampert'; canonical_terms=['diving search', 'hydro pump']; product_terms=['diving search', 'hydro pump'].",30.3,28.1,2026-07-26T02:44:32+0200
xy5-37,37,Ludicolo,Ludicolo,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Ludicolo-PRC37,,273568,Ludicolo [Astonish | Splash Dance],340483,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='ludicolo'; canonical_terms=['astonish', 'splash dance']; product_terms=['astonish', 'splash dance'].",4.03,7.09,2026-07-26T02:44:32+0200
xy5-38,38,Wailord-EX,Wailord EX,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Wailord-EX-PRC38,,273569,Wailord EX [Water Veil | High Breaching],340484,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='wailord ex'; canonical_terms=['water veil', 'high breaching']; product_terms=['water veil', 'high breaching'].",6.25,4.89,2026-07-26T02:44:32+0200
xy5-39,39,Barboach,Barboach,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Barboach-PRC39,,273570,Barboach [Rain Splash],340485,candidate,collector_number_and_direct_listing_product_id,Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='barboach'; canonical_terms=['rain splash']; product_terms=['rain splash'].,0.12,0.51,2026-07-26T02:44:32+0200
xy5-40,40,Whiscash,Whiscash,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Whiscash-PRC40,,273571,Whiscash [Amnesia | Rising Lunge],340486,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='whiscash'; canonical_terms=['amnesia', 'rising lunge']; product_terms=['amnesia', 'rising lunge'].",0.24,0.5,2026-07-26T02:44:32+0200
xy5-41,41,Whiscash,Whiscash,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Whiscash-PRC41,,273572,Whiscash [Water Gun | Earthquake],340487,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='whiscash'; canonical_terms=['water gun', 'earthquake']; product_terms=['water gun', 'earthquake'].",2.05,4.94,2026-07-26T02:44:32+0200
xy5-42,42,Corphish,Corphish,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Corphish-PRC42,,273573,Corphish [Vice Grip | Knock Off],340488,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='corphish'; canonical_terms=['vice grip', 'knock off']; product_terms=['vice grip', 'knock off'].",0.1,0.56,2026-07-26T02:44:32+0200
xy5-43,43,Feebas,Feebas,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Feebas-PRC43,,273574,Feebas [Float On],340489,candidate,collector_number_and_direct_listing_product_id,Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='feebas'; canonical_terms=['float on']; product_terms=['float on'].,0.11,0.73,2026-07-26T02:44:32+0200
xy5-44,44,Milotic,Milotic,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Milotic-PRC44,,273575,Milotic [Sparkling Ripples | Aqua Swirl],340490,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='milotic'; canonical_terms=['sparkling ripples', 'aqua swirl']; product_terms=['sparkling ripples', 'aqua swirl'].",2,4,2026-07-26T02:44:32+0200
xy5-45,45,Spheal,Spheal,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Spheal-PRC45,,273576,Spheal [Ball Roll],211437,candidate,collector_number_and_direct_listing_product_id,Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='spheal'; canonical_terms=['ball roll']; product_terms=['ball roll'].,0.22,1,2026-07-26T02:44:32+0200
xy5-46,46,Spheal,Spheal,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Spheal-PRC46,,273577,Spheal [Ice Ball],211438,candidate,collector_number_and_direct_listing_product_id,Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='spheal'; canonical_terms=['ice ball']; product_terms=['ice ball'].,0.19,0.83,2026-07-26T02:44:32+0200
xy5-47,47,Sealeo,Sealeo,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Sealeo-PRC47,,273578,Sealeo [Freezing Headbutt | Aurora Beam],340491,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='sealeo'; canonical_terms=['freezing headbutt', 'aurora beam']; product_terms=['freezing headbutt', 'aurora beam'].",0.29,0.59,2026-07-26T02:44:32+0200
xy5-48,48,Walrein,Walrein,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Walrein-PRC48,,273579,Walrein [Knock Over | Frozen Splash],340492,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='walrein'; canonical_terms=['knock over', 'frozen splash']; product_terms=['knock over', 'frozen splash'].",0.35,1.17,2026-07-26T02:44:32+0200
xy5-49,49,Clamperl,Clamperl,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Clamperl-PRC49,,273580,Clamperl [Shell Protection],340493,candidate,collector_number_and_direct_listing_product_id,Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='clamperl'; canonical_terms=['shell protection']; product_terms=['shell protection'].,0.12,0.54,2026-07-26T02:44:32+0200
xy5-50,50,Huntail,Huntail,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Huntail-PRC50,,273581,Huntail [Powerful Storm | Crunch],340494,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='huntail'; canonical_terms=['powerful storm', 'crunch']; product_terms=['powerful storm', 'crunch'].",2.08,2.01,2026-07-26T02:44:32+0200
xy5-51,51,Gorebyss,Gorebyss,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Gorebyss-PRC51,,273582,Gorebyss [Captivate | Psychic],340495,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='gorebyss'; canonical_terms=['captivate', 'psychic']; product_terms=['captivate', 'psychic'].",0.39,0.66,2026-07-26T02:44:32+0200
xy5-52,52,Gorebyss,Gorebyss,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Gorebyss-PRC52,,273583,Gorebyss [Psy Bolt],340496,candidate,collector_number_and_direct_listing_product_id,Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='gorebyss'; canonical_terms=['psy bolt']; product_terms=['psy bolt'].,1.88,3.86,2026-07-26T02:44:32+0200
xy5-53,53,Kyogre,Kyogre,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Kyogre-PRC53,,273584,Kyogre [Spring Tides | Ocean Cyclone],211445,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='kyogre'; canonical_terms=['spring tides', 'ocean cyclone']; product_terms=['spring tides', 'ocean cyclone'].",1.64,3.22,2026-07-26T02:44:32+0200
xy5-54,54,Kyogre-EX,Kyogre EX,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Kyogre-EX-V1-PRC54,V1,273585,Kyogre EX [Water Pulse | Giant Whirlpool],222515,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='kyogre ex'; canonical_terms=['water pulse', 'giant whirlpool']; product_terms=['water pulse', 'giant whirlpool'].",14.84,6.07,2026-07-26T02:44:32+0200
xy5-55,55,Primal Kyogre-EX,Primal Kyogre EX,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Primal-Kyogre-EX-V1-PRC55,V1,273586,Primal Kyogre EX [Tidal Storm],211447,candidate,collector_number_and_direct_listing_product_id,Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='primal kyogre ex'; canonical_terms=['tidal storm']; product_terms=['tidal storm'].,33.6,12.81,2026-07-26T02:44:32+0200
xy5-55,55,Primal Kyogre-EX,Primal Kyogre EX,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Primal-Kyogre-EX-V2-OS,V2,363665,Primal Kyogre EX [Tidal Storm],211447,candidate,collector_number_and_direct_listing_product_id,Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='primal kyogre ex'; canonical_terms=['tidal storm']; product_terms=['tidal storm'].,16.8,,2026-07-26T02:44:32+0200
xy5-56,56,Manaphy,Manaphy,https://www.cardmarket.com/en/Pokemon/Products/Singles/Primal-Clash/Manaphy-PRC56,,273587,Manaphy [Deep Sea Swirl | Life Saver],340497,candidate,collector_number_and_direct_listing_product_id,"Canonical card matched by collector number. Cardmarket product matched by direct id_product extracted from the individual listing page. Direct idProduct relationship validated; canonical_name='manaphy'; canonical_terms=['deep sea swirl', 'life saver']; product_terms=['deep sea swirl', 'life saver'].",2.44,1.99,2026-07-26T02:44:32+0200
